City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
269,Buchanan,LR,2020-02-23 05:22:46,5.88,-10.05,77.0,94,40,3.36
270,Bay Roberts,CA,2020-02-23 05:22:46,47.6,-53.26,28.99,86,90,20.8
271,Port Hawkesbury,CA,2020-02-23 05:20:42,45.62,-61.35,28.0,85,1,4.7
272,Svetlyy,RU,2020-02-23 05:22:46,54.67,20.13,41.0,75,75,22.37
273,Anloga,GH,2020-02-23 05:22:47,5.79,0.9,82.4,88,20,5.82
274,Puerto Leguizamo,CO,2020-02-23 05:22:47,-0.19,-74.78,73.69,97,100,1.34
275,Oistins,BB,2020-02-23 05:22:47,13.07,-59.53,77.0,83,20,4.7
276,Bengkulu,ID,2020-02-23 05:22:47,-3.8,102.27,92.53,47,0,2.28
277,Ondo,NG,2020-02-23 05:22:48,7.1,4.83,76.37,93,58,2.55
278,Bonfim,BR,2020-02-23 05:22:48,3.08,-59.95,80.58,51,82,5.61
279,Maralal,KE,2020-02-23 05:22:48,1.1,36.7,72.64,60,63,20.04
280,Fereydun Kenar,IR,2020-02-23 05:22:48,36.69,52.52,50.0,93,20,2.24
281,Marawi,PH,2020-02-23 05:22:49,8.0,124.29,81.0,82,0,8.99
282,Moyo,UG,2020-02-23 05:22:49,3.66,31.72,84.54,49,56,0.2
283,Sparta,US,2020-02-23 05:22:49,43.94,-90.81,37.4,92,1,7.16
284,Jacareacanga,BR,2020-02-23 05:22:49,-6.22,-57.75,72.54,98,100,1.7
285,Przhevalskoye,RU,2020-02-23 05:22:50,55.51,31.85,34.97,83,100,10.98
286,Sao Joao Da Barra,BR,2020-02-23 05:19:00,-21.64,-41.05,73.44,92,100,19.64
287,Dwarka,IN,2020-02-23 05:22:50,22.24,68.97,78.44,54,0,8.72
288,Abeche,TD,2020-02-23 05:22:50,13.83,20.83,68.83,14,0,20.15
289,Dondo,MZ,2020-02-23 05:22:51,-19.61,34.74,80.6,83,40,4.7
290,Basavakalyan,IN,2020-02-23 05:22:51,17.87,76.95,86.63,24,0,12.48
291,Bridlington,GB,2020-02-23 05:22:51,54.08,-0.19,44.01,93,100,5.82
292,Upata,VE,2020-02-23 05:22:51,8.01,-62.4,70.03,80,27,2.84
293,Saint-Augustin,CA,2020-02-23 05:22:52,51.23,-58.65,22.53,93,95,17.78
294,Isfana,KG,2020-02-23 05:22:52,39.84,69.53,48.2,76,97,15.66
295,Saurimo,AO,2020-02-23 05:22:52,-9.66,20.39,69.76,93,100,3.44
296,Valdivia,CL,2020-02-23 05:18:03,-39.81,-73.25,52.3,79,0,1.5
297,Kruisfontein,ZA,2020-02-23 05:22:53,-34.0,24.73,61.74,63,50,3.74
298,Pangnirtung,CA,2020-02-23 05:22:53,66.15,-65.71,-34.62,92,37,1.81
299,Isilkul,RU,2020-02-23 05:22:53,54.91,71.27,12.79,93,74,3.02
300,Chimbote,PE,2020-02-23 05:22:53,-9.09,-78.58,73.58,69,94,2.04
301,Adiake,CI,2020-02-23 05:22:54,5.29,-3.3,82.4,94,20,4.7
302,Rudsar,IR,2020-02-23 05:22:54,37.14,50.29,50.0,100,90,2.95
